Date Time,Tlog (degC),H2OC (mmol/mol),VPmax (mbar),Tpot (K)
2023-07-01,30.10094076655052,14.537630662020906,21.61710801393728,293.06783972125436
2023-07-03,30.63322916666667,11.682326388888889,22.251527777777778,293.21961805555554
2023-07-05,30.470694444444444,11.421111111111111,21.755555555555556,292.5470486111111
2023-07-07,35.34934027777778,12.185034722222222,29.42125,296.3626388888889
2023-07-09,37.28451388888889,16.093888888888888,33.510868055555555,299.07677083333334
2023-07-11,36.742777777777775,16.087152777777778,32.85805555555556,299.3569097222222
2023-07-13,33.560520833333335,11.959444444444445,25.91732638888889,295.2838888888889
2023-07-15,34.46388888888889,15.06017361111111,30.02513888888889,297.5596875
2023-07-17,32.69715277777778,11.617152777777777,24.85357638888889,294.2155902777778
2023-07-19,30.340659722222224,13.978402777777779,21.131805555555555,292.15774305555556
2023-07-21,28.26503472222222,13.439756944444445,18.98111111111111,290.57982638888893
2023-07-23,31.752465277777773,14.577673611111111,25.716979166666665,295.8722569444445
2023-07-25,26.641527777777778,14.116840277777778,16.852430555555557,289.3073263888889
2023-07-27,28.696770833333332,17.23496527777778,20.733333333333334,292.2757638888889
2023-07-29,30.71253472222222,17.77798611111111,22.420104166666665,293.59229166666665
2023-07-31,28.09614583333333,16.24565972222222,20.307291666666668,292.4642361111111
2023-08-02,28.0896875,16.2371875,20.754097222222224,293.2835763888889
2023-08-04,29.768541666666668,16.416527777777777,20.033229166666665,291.69649305555555
2023-08-06,27.09857638888889,15.194166666666668,17.45545138888889,289.9039930555556
2023-08-08,26.93673611111111,12.239305555555555,17.511875,289.30125
2023-08-10,31.45138888888889,12.994305555555556,22.571354166666666,292.0367708333333
2023-08-12,32.0896875,19.835763888888888,25.255729166666665,294.7872916666667
2023-08-14,33.96652777777778,21.880625,28.1371875,296.39673611111107
2023-08-16,32.62909722222222,22.471805555555555,25.287847222222222,294.7942013888889
2023-08-18,35.440694444444446,22.418298611111112,30.654270833333335,297.67086805555556
2023-08-20,34.19114583333333,23.366701388888888,29.550277777777776,297.1244444444444
2023-08-22,34.901631944444446,18.3784375,27.431527777777777,295.9327777777778
2023-08-24,34.006006944444444,19.49451388888889,27.65940972222222,296.59541666666667
2023-08-26,30.42170138888889,16.88597222222222,20.591180555555557,292.10538194444445
2023-08-28,27.588229166666665,14.499409722222222,16.7346875,289.0598611111111
2023-08-30,28.797326388888887,13.168923611111111,17.593402777777776,289.7363888888889
2023-09-01,29.56628472222222,16.558854166666666,18.675590277777776,289.91947916666663
2023-09-03,30.745034722222222,14.781145833333333,20.1846875,290.2649652777778
2023-09-05,32.965069444444445,14.916562500000001,24.842118055555556,293.58270833333336
2023-09-07,33.20451388888889,14.772430555555555,25.904756944444443,294.25586805555554
2023-09-09,33.575069444444445,15.522118055555556,26.343854166666667,294.7821875
2023-09-11,33.511875,17.046770833333333,26.08909722222222,295.2395486111111
2023-09-13,29.208993055555556,15.529270833333335,18.91986111111111,290.04899305555557
2023-09-15,29.757743055555554,13.933645833333333,20.26236111111111,290.58756944444445
2023-09-17,30.918194444444445,17.324479166666666,23.56565972222222,293.89725694444445
2023-09-19,29.236145833333335,13.810243055555555,20.955555555555556,292.36131944444446
2023-09-21,29.50173611111111,15.580486111111112,21.15159722222222,292.850625
2023-09-23,25.907534722222223,11.305694444444445,15.334756944444443,286.63725694444446
2023-09-25,28.04798611111111,13.139270833333335,17.864270833333332,288.10375
2023-09-27,30.79840277777778,16.338402777777777,22.018159722222222,291.9605902777778
2023-09-29,28.758680555555557,13.962118055555557,19.47201388888889,290.13895833333333
2023-10-01,28.94267361111111,12.343506944444444,20.1465625,290.10180555555553
2023-10-03,25.00743055555556,13.17920138888889,17.38222222222222,288.41375
2023-10-05,22.660625,11.444756944444444,15.49142361111111,286.49600694444445
2023-10-07,23.15895833333333,12.867777777777778,16.417187499999997,287.52406249999996
2023-10-09,25.128923611111112,15.387812499999999,18.18079861111111,289.33510416666667
2023-10-11,28.58076388888889,14.41701388888889,21.18788194444444,292.1947916666667
2023-10-13,27.832812500000003,13.556944444444445,20.44840277777778,291.7218402777778
2023-10-15,16.122708333333335,7.898923611111111,9.4475,279.5732638888889
2023-10-17,16.179826388888888,7.398819444444445,8.98388888888889,278.7946180555556
2023-10-19,20.001984924623116,13.42530150753769,13.281331658291458,287.1372361809045
2023-10-21,23.872492211838004,12.86361370716511,15.341090342679127,288.28523364485983
2023-10-23,24.554791666666667,12.670798611111111,14.01701388888889,286.40475694444444
2023-10-25,22.63125,11.850069444444445,12.517569444444444,285.66225694444444
2023-10-27,21.95795138888889,11.731840277777778,12.195416666666667,285.300625
2023-10-29,24.01267361111111,12.57232638888889,15.181736111111112,288.2711458333333
